"id","category","name","old_price","new_price","discount","deals","url"
"48","Dziecko","DUŻA DREWNIANA KUCHNIA DLA DZIECI Z AKCESORIAMI","389,00 zł","229,00 zł","Smart! okazja","1 osoba kupiła","https://allegro.pl/oferta/duza-drewniana-kuchnia-dla-dzieci-z-akcesoriami-8696108200"
"8","Dziecko","EDUKACYJNA DUŻA WIELOFUNKCYJNA TABLICA MAGNETYCZNA","49,90 zł","29,90 zł","-40%","569 osób kupiło","https://allegro.pl/oferta/edukacyjna-duza-wielofunkcyjna-tablica-magnetyczna-5923775191"
"38","Dziecko","PUSH BUBBLE POP IT ZABAWKA SENSORYCZNA ANTY-STRES","59,00 zł","17,99 zł","wyprzedaż","24 osoby kupiły","https://allegro.pl/oferta/push-bubble-pop-it-zabawka-sensoryczna-anty-stres-10492224078"
"139","Dziecko","DUŻY EDUKACYJNY TABLET DOTYKOWY POLSKA WERSJA","42,90 zł","29,90 zł","-30%","150 osób kupiło","https://allegro.pl/events/clicks?emission_unit_id=bb9a2545-2469-4810-a15a-86d06e5b1de9&emission_id=8d5ccea0-7186-4ab1-8ed8-ea09b21393c5&type=OFFER&ts=1617120138442&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Fduzy-edukacyjny-tablet-dotykowy-polska-wersja-7215044492%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Aqueryandcategory%26bi_c%3DZDNlMjczNzUtZmM0Ny00ZTYxLTlmNjUtMzk3MTg0YzZiYTBhAA%26bi_t%3Dape&placement=listing:desktop:queryandcategory&sig=07f0b4aef227fbe7765f60f827427b5f"
"150","Dziecko","Buty dziecięce Kappa Marabu II K 260817K-1020","99,00 zł","88,00 zł","-11%","6 osób kupiło","https://allegro.pl/oferta/buty-dzieciece-kappa-marabu-ii-k-260817k-1020-10528970263"
"60","Dziecko","TERMOMETRY BEZDOTYKOWY LEKARSKI NA PODCZERWIEŃ","199,00 zł","59,50 zł","-70%","43 osoby kupiły","https://allegro.pl/oferta/termometry-bezdotykowy-lekarski-na-podczerwien-9292984044"
"82","Dziecko","Termometr BEZDOTYKOWY NA PODCZERWIEŃ szybki pomiar","199,00 zł","41,99 zł","-78%","791 osób kupiło","https://allegro.pl/events/clicks?emission_unit_id=6f0c1c69-45b1-413b-bf95-d8f14ec5a204&emission_id=701f40ec-0bb3-49a0-9387-6881a27f9b60&type=OFFER&ts=1617120136906&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Ftermometr-bezdotykowy-na-podczerwien-szybki-pomiar-9888721505%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Aqueryandcategory%26bi_c%3DNjUyMzRkYjItZjIxZS00NmJlLTliNWYtNWU5M2QxOWI4ZTQ5AA%26bi_t%3Dape&placement=listing:desktop:queryandcategory&sig=205cc1b8260c508c50716af86367bd24"
"19","Dziecko","POŚCIEL DZIECIĘCA 140x200 BAWEŁNA SATYNA POSZEWKA","94,99 zł","33,62 zł","-64%","77 osób kupiło","https://allegro.pl/oferta/posciel-dziecieca-140x200-bawelna-satyna-poszewka-9048529882"
"52","Dziecko","INHALATOR PNEUMATYCZNY FLAEM GHIBLI PLUS","199,00 zł","126,55 zł","-36%","54 osoby kupiły","https://allegro.pl/oferta/inhalator-pneumatyczny-flaem-ghibli-plus-6014707222"
"46","Dziecko","Zestaw Pulsoksymetr + Termometr Medyczny Pro","200,00 zł","89,99 zł","outlet","208 osób kupiło","https://allegro.pl/events/clicks?emission_unit_id=089a6530-b468-4665-9e87-182ee53c2e39&emission_id=c4ecb653-23f6-4845-a3a7-b8f021a5ee50&type=OFFER&ts=1617120135364&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Fzestaw-pulsoksymetr-termometr-medyczny-pro-10231124866%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Aqueryandcategory%26bi_c%3DODY0MjkzODYtMWMzNS00YjJmLWJjZDUtNWM2OTUzY2IzM2YzAA%26bi_t%3Dape&placement=listing:desktop:queryandcategory&sig=5e57c9e8152099fca29228c5234d7e2a"
