"id","category","name","old_price","new_price","discount","deals","url"
"52","Kolekcje i sztuka","5D obraz diamentowy zestaw do haftu 30*40cm","48,00 zł","26,90 zł","-43%","4 osoby kupiły","https://allegro.pl/oferta/5d-obraz-diamentowy-zestaw-do-haftu-30-40cm-10096006386"
"115","Kolekcje i sztuka","Kulki smakowe do papierosów MOCNA MIĘTA 100 szt.","14,99 zł","10,99 zł","-26%","22 osoby kupiły","https://allegro.pl/events/clicks?emission_unit_id=7ac8c4c2-8f53-4650-a7be-eb1564a6792a&emission_id=2166cbdc-c9c2-412d-b39e-e048b80b9d04&type=OFFER&ts=1617120144250&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Fkulki-smakowe-do-papierosow-mocna-mieta-100-szt-9776060214%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Aqueryandcategory%26bi_c%3DY2MwNjUyODQtMDdhNi00ODZlLTg4ODQtZjlkMzUzMzBiZGI4AA%26bi_t%3Dape&placement=listing:desktop:queryandcategory&sig=6ae1b91e9abb442392a2e33c0ffcbc52"
"24","Kolekcje i sztuka","Kulki smakowe MIX - MIĘTA MENTOL do papierosów 150","19,99 zł","11,99 zł","-40%","10 osób kupiło","https://allegro.pl/events/clicks?emission_unit_id=756256ed-4c60-424a-ade9-63a54b7a9217&emission_id=e535b99f-d60d-48f9-ac43-249b3e50f349&type=OFFER&ts=1617120142931&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Fkulki-smakowe-mix-mieta-mentol-do-papierosow-150-10414734111%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Aqueryandcategory%26bi_c%3DZDEyMjEyOTItMzU2MC00NTZlLWFiNmItZjdjZWQ3NTQ5OGU1AA%26bi_t%3Dape&placement=listing:desktop:queryandcategory&sig=2f045e88d8990e6e9da7aebfcaeca36c"
"47","Kolekcje i sztuka","BUTELKA FALA Z NADRUKIEM 500ML NA BIMBER NALEWKI","5,99 zł","4,19 zł","-30%","45 osób kupiło","https://allegro.pl/oferta/butelka-fala-z-nadrukiem-500ml-na-bimber-nalewki-8313130614"
"81","Kolekcje i sztuka","Zakreślacze pisaki markery dwustronne 80 szt","159,00 zł","94,90 zł","-40%","16 osób kupiło","https://allegro.pl/oferta/zakreslacze-pisaki-markery-dwustronne-80-szt-9569609276"
"72","Kolekcje i sztuka","LATARKA POLICYJNA CREE ZOOM AKUMULATORY ŁADOWARKA","129,00 zł","49,00 zł","-62%","19 osób kupiło","https://allegro.pl/oferta/latarka-policyjna-cree-zoom-akumulatory-ladowarka-8464673194"
"127","Kolekcje i sztuka","HRZ antyczny ceramika Wiatroodporna popielniczka","82,99 zł","68,99 zł","wyprzedaż","","https://allegro.pl/oferta/hrz-antyczny-ceramika-wiatroodporna-popielniczka-10532153505"
"50","Kolekcje i sztuka","ALKOHOLOMIERZ MIERNIK WSKAŹNIK ALKOHOLU ZAWARTOŚCI","19,00 zł","10,99 zł","-42%","48 osób kupiło","https://allegro.pl/oferta/alkoholomierz-miernik-wskaznik-alkoholu-zawartosci-9523318368"
"133","Kolekcje i sztuka","LUPA JUBILERSKA MIKROSKOP KIESZONKOWY 60x LED+UV","69,00 zł","19,99 zł","-71%","34 osoby kupiły","https://allegro.pl/oferta/lupa-jubilerska-mikroskop-kieszonkowy-60x-led-uv-9371571276"
"54","Kolekcje i sztuka","ZESTAW KRAWIECKI DO SZYCIA IGŁY KOMPLET IGIEŁ IGŁA","19,00 zł","4,99 zł","-73%","31 osób kupiło","https://allegro.pl/oferta/zestaw-krawiecki-do-szycia-igly-komplet-igiel-igla-10411181664"
"31","Kolekcje i sztuka","DRON STEROWANY RĘKĄ LED LEWITUJACY MINI UFO OSŁONY","149,90 zł","99,90 zł","-33%","6 osób kupiło","https://allegro.pl/oferta/dron-sterowany-reka-led-lewitujacy-mini-ufo-oslony-10129287409"
"112","Kolekcje i sztuka","Kulki smakowe MIĘTA miętowe do papierosów 600szt","59,94 zł","40,00 zł","-33%","38 osób kupiło","https://allegro.pl/oferta/kulki-smakowe-mieta-mietowe-do-papierosow-600szt-10448490542"
"20","Kolekcje i sztuka","MATA DO CIĘCIA SAMOGOJĄCA Techniczna Modelarska A1","94,90 zł","88,80 zł","-6%","66 osób kupiło","https://allegro.pl/oferta/mata-do-ciecia-samogojaca-techniczna-modelarska-a1-9918768505"
"117","Kolekcje i sztuka","Dron Syma X25pro x25 pro GPS follow me FPV","527,00 zł","466,07 zł","-11%","","https://allegro.pl/oferta/dron-syma-x25pro-x25-pro-gps-follow-me-fpv-10516833280"
"48","Kolekcje i sztuka","TERMOMETR TABLICOWY z sondą -50+110C do destylacji","12,50 zł","9,50 zł","-24%","200 osób kupiło","https://allegro.pl/oferta/termometr-tablicowy-z-sonda-50-110c-do-destylacji-9347983842"
"94","Kolekcje i sztuka","OKULARY POWIĘKSZAJĄCE DO CZYTANIA LUPA ZOOM 160%","59,99 zł","29,99 zł","-50%","52 osoby kupiły","https://allegro.pl/oferta/okulary-powiekszajace-do-czytania-lupa-zoom-160-10429384991"
"59","Kolekcje i sztuka","POJEMNIK FERMENTACYJNY 30L WIADRO KRANIK + RURKA","79,00 zł","29,00 zł","-63%","7 osób kupiło","https://allegro.pl/oferta/pojemnik-fermentacyjny-30l-wiadro-kranik-rurka-10541201546"
"118","Kolekcje i sztuka","RAFIA SYNTETYCZNA 200m WSTĄŻKA dekoracyjna nr 52","79,00 zł","29,90 zł","-62%","3 osoby kupiły","https://allegro.pl/oferta/rafia-syntetyczna-200m-wstazka-dekoracyjna-nr-52-10449897864"
"106","Kolekcje i sztuka","Jajka wielkanocne pisanki ozdobne kolorowe 5szt.","6,99 zł","6,29 zł","wyprzedaż","4 osoby kupiły","https://allegro.pl/oferta/jajka-wielkanocne-pisanki-ozdobne-kolorowe-5szt-10498797830"
"103","Kolekcje i sztuka","Kulki smakowe MIX MIĘTA miętowe do papierosów 500","59,99 zł","40,00 zł","-33%","20 osób kupiło","https://allegro.pl/oferta/kulki-smakowe-mix-mieta-mietowe-do-papierosow-500-10418494616"
"63","Kolekcje i sztuka","Haft Diamentowy Diamond Painting Mozaika Zestaw","42,00 zł","38,89 zł","-7%","3 osoby kupiły","https://allegro.pl/oferta/haft-diamentowy-diamond-painting-mozaika-zestaw-9887129161"
"43","Kolekcje i sztuka","Dron RC Syma X26","186,00 zł","150,00 zł","-19%","2 osoby kupiły","https://allegro.pl/oferta/dron-rc-syma-x26-10516833330"
