"id","category","name","old_price","new_price","discount","deals","url"
"30","Kultura i rozrywka","Erotyczna gra Rozkoszna wojna","26,00 zł","23,99 zł","-7%","20 osób kupiło","https://allegro.pl/oferta/erotyczna-gra-rozkoszna-wojna-7070323035"
"31","Kultura i rozrywka","Kot Simona Latający obiad - gra rodzinna imprezowa","49,99 zł","19,99 zł","-60%","37 osób kupiło","https://allegro.pl/oferta/kot-simona-latajacy-obiad-gra-rodzinna-imprezowa-9066851639"
"32","Kultura i rozrywka","Kot Simona Pora karmienia - gra rodzinna imprezowa","49,99 zł","19,99 zł","-60%","37 osób kupiło","https://allegro.pl/oferta/kot-simona-pora-karmienia-gra-rodzinna-imprezowa-9066832075"
"33","Kultura i rozrywka","MDR, GIERKI MAŁŻEŃSKIE – towarzyska gra planszowa","99,99 zł","89,99 zł","-10%","228 osób kupiło","https://allegro.pl/oferta/mdr-gierki-malzenskie-towarzyska-gra-planszowa-8432165550"
"35","Kultura i rozrywka","Polska Kuchnia Na Co Dzień - zdrowo i smacznie","50,00 zł","40,00 zł","wyprzedaż","","https://allegro.pl/events/clicks?emission_unit_id=61b5e2d5-3bdb-4c0c-b66e-2dbf4e82d009&emission_id=5b628aaf-ed21-4137-9e1e-65e60345e773&type=OFFER&ts=1617041551710&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Fpolska-kuchnia-na-co-dzien-zdrowo-i-smacznie-10490985062%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Aqueryandcategory%26bi_c%3DZTQ2ZTYxOTItNWZiNi00YzY1LTlmZTgtYzAxNTFlZjNhMjIxAA%26bi_t%3Dape&placement=listing:desktop:queryandcategory&sig=46ca99872d1c3fd75e860f86ad537bab"
"36","Kultura i rozrywka","Cyberpunk 2077 PS4","270,99 zł","159,99 zł","-40%","16 osób kupiło","https://allegro.pl/oferta/cyberpunk-2077-ps4-9979833291"
"37","Kultura i rozrywka","DOMINO DREWNIANE KLOCKI GRA RODZINNA + PUDEŁKO","39,00 zł","9,99 zł","-74%","151 osób kupiło","https://allegro.pl/oferta/domino-drewniane-klocki-gra-rodzinna-pudelko-9084575562"
"38","Kultura i rozrywka","Tradycyjne szachy drewniane turystyczne gra biwak","42,00 zł","14,50 zł","-65%","29 osób kupiło","https://allegro.pl/oferta/tradycyjne-szachy-drewniane-turystyczne-gra-biwak-10434737811"
"39","Kultura i rozrywka","MINECRAFT PREMIUM WINDOWS 10 - GRA PC - NOWA - PL","79,90 zł","39,90 zł","-50%","1092 osoby kupiły","https://allegro.pl/oferta/minecraft-premium-windows-10-gra-pc-nowa-pl-10244901194"
"40","Kultura i rozrywka","MINECRAFT 4K - POLSKA WERSJA - NOWA - XBOX ONE","99,00 zł","49,90 zł","-49%","25 osób kupiło","https://allegro.pl/oferta/minecraft-4k-polska-wersja-nowa-xbox-one-9354871848"
"41","Kultura i rozrywka","DOMINO DREWNIANE Klocki GRA RODZINNA + pudełko","15,90 zł","5,90 zł","-62%","63 osoby kupiły","https://allegro.pl/oferta/domino-drewniane-klocki-gra-rodzinna-pudelko-9404946314"
